ID,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,C,Python,Make
201223615,5,5,5,4.8,,1.3 Error de sintaxis en map,
201325845,5,5,5,5,,,
201325858,3,0,0,1.5,0.5 Incompleto,1.0 Errores de sintaxis,0 No hay makefile
201423229,5,5,5,3.5,0.8 Varios errores de sintaxis,,1.2 Error en la ejecucion del .py 
201224162,4.6,5,0,4.7,1.7 No arroja los valores correctos,,
201126968,5,5,5,4.6,1.7 No arroja los valores correctos,1.4 Selecciono la misma columna dos veces,
201224382,4.9,5,5,3.3,1.5 No arroja los valores correctos,0.7 Incompleto,1.1 Error al nombrar el .py
201224448,5,0,3.8,2.7,1.0 Varios errores de sintaxis,1.5,0 No hay makefile
201314329,5,5,5,4.8,1.8 No arroja los valores correctos,,
201414158,5,4.8,5,4.9,1.9 No arroja los valores correctos,,
201312866,5,5,5,5,,,
201423821,5,5,5,5,,,
201127046,3.2,5,5,2.7,1.2 Varios errores de sintaxis,0 No hay .py,
201415788,5,5,5,3,1.5 No genera los datos correctamente,,0 No hay makefile
201512125,5,5,5,3.8,1.3 Varios errores de sintaxis,,1 la imagen debe depender tambien de los datos
200724258,0,3.2,0,0,,,
201424126,2.7,5,5,0,,,
201317958,3.5,0,0,0,,,
201328806,5,5,5,4.8,1.8 No arroja los valores correctos,,
201328428,4,5,0,0,,,
201327888,5,5,5,5,,,
