1978 17015010	,26.8 ,26.5 ,27.3 ,27.6 ,28.1 ,27.6 ,27.5 ,27.8 ,27.8 ,27.4 ,27.7 ,27.3 
1979 17015010	,26.6 ,26.9 ,27.2 ,27.4 ,28.1 ,27.9 ,28.5 ,27.8 ,28.0 ,27.9 ,27.6 ,27.3 
1980 17015010	,27.0 ,26.6 ,27.3 ,27.4 ,28.3 ,28.4 ,28.3 ,28.3 ,28.0 ,27.8 ,27.4 ,26.9 
1981 17015010	,26.3 ,27.0 ,27.4 ,27.4 ,28.4 ,27.4 ,28.2 ,28.0 ,28.0 ,28.0 ,27.3 ,27.2 
1982 17015010	,27.3 ,27.0 ,26.9 ,27.4 ,28.1 ,28.0 ,27.8 ,28.0 ,27.9 ,27.4 ,27.7 ,27.1 
1983 17015010	,26.9 ,27.2 ,27.4 ,27.9 ,28.5 ,29.2 ,28.2 ,28.0 ,27.7 ,27.3 ,28.1 ,27.3 
1984 17015010	,26.5 ,26.7 ,26.8 ,27.5 ,27.6 ,28.0 ,27.3 ,27.6 ,26.5 ,27.1 ,25.6 ,26.6 
1985 17015010	,26.2 ,26.2 ,27.1 ,26.9 ,28.2 ,27.7 ,27.6 ,27.4 ,27.6 ,27.3 ,27.1 ,26.8 
1986 17015010	,26.2 ,26.0 ,26.5 ,27.2 ,27.6 ,28.0 ,27.8 ,27.9 ,27.3 ,27.0 ,27.4 ,27.1 
1987 17015010	,26.4 ,26.5 ,27.2 ,27.4 ,28.1 ,28.6 ,27.9 ,28.1 ,28.3 ,27.7 ,28.1 ,27.8 
1988 17015010	,27.1 ,26.7 ,27.0 ,27.5 ,28.1 ,28.2 ,28.1 ,28.0 ,27.8 ,27.6 ,27.3 ,27.0 
1989 17015010	,26.6 ,25.9 ,26.0 ,27.0 ,27.4 ,27.4 ,27.7 ,28.2 ,27.4 ,27.6 ,27.6 ,27.1 
1990 17015010	,26.9 ,26.5 ,26.6 ,27.3 ,27.7 ,28.0 ,27.8 ,27.9 ,27.9 ,28.0 ,27.4 ,27.1 
1991 17015010	,26.8 ,26.5 ,27.0 ,27.5 ,27.6 ,28.2 ,28.2 ,28.1 ,28.2 ,27.6 ,27.4 ,27.0 
1992 17015010	,26.7 ,26.6 ,26.8 ,27.6 ,27.9 ,28.3 ,27.7 ,27.9 ,28.1 ,28.1 ,27.9 ,27.5 
1993 17015010	,27.0 ,26.9 ,26.9 ,27.8 ,28.1 ,28.3 ,28.0 ,28.1 ,27.8 ,27.5 ,27.5 ,27.6 
1994 17015010	,27.0 ,26.9 ,26.9 ,27.5 ,28.2 ,28.0 ,27.7 ,27.7 ,27.5 ,28.2 ,27.2 ,27.3 
1995 17015010	,27.1 ,26.8 ,27.1 ,28.0 ,28.2 ,28.4 ,28.1 ,28.3 ,28.6 ,27.7 ,27.9 ,27.6 
1996 17015010	,26.8 ,26.9 ,26.8 ,27.6 ,27.5 ,28.0 ,27.6 ,27.8 ,27.8 ,28.0 ,27.1 ,27.0 
1997 17015010	,26.6 ,26.7 ,26.4 ,27.3 ,28.0 ,28.1 ,28.1 ,28.5 ,28.3 ,28.3 ,27.9 ,27.8 
1998 17015010	,27.3 ,27.4 ,27.6 ,28.0 ,28.5 ,28.4 ,28.1 ,28.8 ,28.5 ,27.9 ,27.6 ,27.2 
1999 17015010	,27.0 ,26.5 ,26.9 ,27.4 ,27.9 ,27.7 ,28.0 ,27.8 ,27.7 ,27.0 ,27.2 ,26.3 
2000 17015010	,26.2 ,26.2 ,26.5 ,27.3 ,27.6 ,27.6 ,27.7 ,28.3 ,28.0 ,27.7 ,27.7 ,27.1 
2001 17015010	,26.5 ,26.5 ,26.5 ,27.1 ,28.0 ,28.0 ,28.0 ,28.6 ,27.8 ,28.1 ,27.1 ,27.4 
2002 17015010	,27.2 ,26.9 ,27.1 ,27.5 ,28.1 ,28.5 ,28.2 ,27.9 ,28.4 ,27.7 ,28.0 ,27.6 
2003 17015010	,26.9 ,27.2 ,27.5 ,27.8 ,28.5 ,28.2 ,28.1 ,28.1 ,28.4 ,27.9 ,27.7 ,27.3 
2004 17015010	,26.9 ,27.0 ,27.2 ,27.5 ,27.6 ,27.5 ,27.9 ,28.3 ,28.3 ,28.4 ,27.3 ,26.9 
2005 17015010	,26.4 ,26.3 ,27.6 ,28.1 ,28.3 ,28.6 ,28.5 ,28.4 ,28.4 ,27.6 ,27.0 ,27.4 
2006 17015010	,26.9 ,26.7 ,26.9 ,27.6 ,28.2 ,28.2 ,28.4 ,28.4 ,28.3 ,28.2 ,27.6 ,27.8 
2007 17015010	,27.2 ,27.0 ,27.5 ,28.2 ,28.2 ,28.6 ,28.6 ,28.4 ,28.0 ,27.7 ,27.4 ,27.2 
2008 17015010	,26.8 ,26.7 ,26.7 ,27.2 ,27.7 ,28.0 ,27.7 ,28.0 ,28.2 ,27.6 ,26.9 ,27.1 
2009 17015010	,27.0 ,26.4 ,26.5 ,27.5 ,28.0 ,28.0 ,28.4 ,28.3 ,28.3 ,27.6 ,27.6 ,27.8 
2010 17015010	,26.8 ,27.1 ,27.6 ,28.6 ,28.7 ,28.6 ,28.5 ,27.9 ,28.2 ,27.5 ,27.3 ,26.2 
2011 17015010	,26.4 ,26.8 ,26.8 ,27.6 ,27.9 ,28.0 ,28.2 ,28.8 ,28.4 ,27.7 ,27.3 ,27.1 
2012 17015010	,26.7 ,26.8 ,26.9 ,27.4 ,28.4 ,28.6 ,28.4 ,28.2 ,28.3 ,27.9 ,27.3 ,27.7 
2013 17015010	,27.4 ,27.0 ,26.9 ,27.9 ,28.1 ,28.5 ,28.5 ,28.2 ,28.0 ,27.9 ,28.1 ,27.9 
2014 17015010	,27.2 ,27.0 ,27.5 ,27.8 ,28.2 ,27.9 ,     ,     ,     ,     ,     ,    
